negation_cues	cue_positions	sentence_tokens
not | n't	[2 | 9]	It 's not that the questions they asked were n't interesting or legitimate ( though most did fall under the category of already asked and answered ) .
n't	[2]	I do n't mean to be glib about your concerns , but if I were you , I might be more concerned about the near - term rate implications of this $ 1 .
Neither	[0]	Neither Vrenna nor myself have ever fought him .
unpleasant	[7]	The road to Jaisalmer is bumpy and unpleasant to ride on .
no-cues	[]	It was refurbished in the Victorian era but rendered useless by succeeding Nile dams .
not	[2]	I did not mention Monica in my lecture , but the first question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair .
without	[7]	They wanted to get through the lecture without any problems .
no-cues	[]	Thebes held onto power until the 12th Dynasty , when its first king , Amenemhet Iwho reigned between 1980 1951 b.c . established a capital near Memphis .
no-cues	[]	The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital .
no-cues	[]	Nonetheless , based on discussions with several states , the application review process is estimated to take approximately 38 weeks ( 9 - 10 months ) .
no-cues	[]	The application review process was underestimated only with corporations .
no	[11]	In such circumstances , auditors may issue a limited official by no means to use report containing such information and distribute the report only to those parties responsible for acting on the auditors ' recommendations .
unlimited	[4]	Auditors can issue an unlimited official use report that has such information .
no-cues	[]	This no longer brought forth a small number of articulate dissensions .
impossible	[2]	It 's impossible to have a plate hand - painted to your own design in Hong Kong .
Never	[0]	Never let your dream to become fade .
Nothing	[0]	Nothing can but money is important .
nothing	[2]	He is nothing like his brother .
nobody	[3]	He seems like nobody .
Nobody	[0]	Nobody likes crimes .
no-cues	[]	John rejected taking money from his friend .
no-cues	[]	Kuri has lack of experience in Tech .
no-cues	[]	Many companies that are running in tech business has serious lack of knowledge on sustainability .
