index	dev_index	text_a	cues	text_b	cues	judgment	is_important
1	891	I'm not yet able to answer if the phenomenon has an official PoliSci name.	not [2]	There are 2 problems with the viewpoint you presented in the question, which explain the seeming contradiction.		0.400000006	No
2	750	This looks a lot like an invitation to a No True Scottsman argument.	No [9]	I concur with @T.E.D; the question is a "no True Scotsman" bar bet.	no [10]	3.799999952	No
3	784	A tent may give you slightly more protection than sleeping out in the open, but not much.	not [16]	No, a tent will not give you any protection from bears that want what's inside.	No [0] | not [5]	3	No
4	1235	Bush turned out a statement yesterday thanking the commission for its work, and said, "Our journey into space will go on.		Mr. Bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work, and saying, "Our journey into space will go on.	not [3]	3.599999905	No
5	849	Well for one a being could have a non-physical existance and yet not even be in your mind.	non [8] | not [14]	The difference is huge, as not all non-physical things exist in minds.	not [6] | non [8]	3.400000095	No
6	720	I feel your pain - I absolutely pour with sweat with any vigorous exercise, even in cool conditions.		Sweat rate is sweat rate, you can't really control it.	n't [8]	1	No
7	1188	But JT was careful to clarify that it was "not certain about the outcome of the discussion at this moment".	not [10]	However, we are not certain about the outcome of the discussion at this moment.	not [5]	3.200000048	No
8	718	You definitely do NOT want to be supporting your weight with your arms on the bike for normal riding.	NOT [3]	No, don't support your weight on your arms Your hands simply aren't really made for supporting all that weight.	No [0] | n't [3] | n't [14]	4.199999809	No
9	731	It is not recommended to use greywater on vegetables that you will eat directly.	not [2]	Adding soap to water allows the water to dissolve oils.		0.6000000238	No
10	1191	At midnight on Wednesday, 68 percent of voters said "no" to the tax, with 97 percent of the votes counted.	no [11]	With 97 percent of precincts counted tonight, 68 percent of voters opposed the tax.		4.666999817	Yes
11	1230	It seems to me ... we're just dealing with bragging rights here, who wins and who loses," said Gammerman, who heard the case without a jury.	without [29]	Leaving aside attorney fees, we're dealing with bragging rights of who wins and who loses," said Gammerman.		3.667000055	No
12	827	I have seen cats not like using the litterbox for a variety of reasons.	not [4]	I think Keltari has some good ideas.... A cat can change its "taste" in litter material.		2.599999905	No
13	1420	Tornadoes level homes in Oklahoma, 1 dead		Tornadoes hit Kan., Okla.; no injuries reported	no [6]	3.200000048	No
14	778	In Russian, for example, animacy is not clear-cut in the distinction animate/inanimate.	not [8]	As in Russian, Polish marks animate masculine nouns by having a genitive-accusative vs. the nominative-accusative of inanimate masculines.		2.799999952	No
15	737	To paraphrase a common saying, "One man's weed is another man's lawn".		First, let me say I've no experience doing battle with Bermuda grass.	no [7]	1	No
