index	dev_index	premise	cues	hypothesis	cues	judgment	is_important
1	3312	Where was Tesla hoping to attend classes in Prague?		Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.	never [15]	entailment	No
2	1433	How similar was the Lisbon Treaty to the constitutional treaty?		Its substance was very similar to the proposed constitutional treaty, but it was formally an amending treaty, and – though it significantly altered the existing treaties – it did not completely replace them.	not [31]	entailment	No
3	450	When did Carl Wilhelm Scheele discover oxygen?		Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first.	independently [3]	entailment	No
4	439	Why did Tesla begin investigating invisible energy?		Starting in 1894, Tesla began investigating what he referred to as radiant energy of "invisible" kinds after he had noticed damaged film in his laboratory in previous experiments (later identified as "Roentgen rays" or "X-Rays").	invisible [16]	entailment	No
5	3195	Where was France concentraing efforts?		William Pitt came to power and significantly increased British military resources in the colonies at a time when France was unwilling to risk large convoys to aid the limited forces it had in New France.	unwilling [20]	not_entailment	No
6	137	In what year did the film also mention the number of regenerations?		This line became stuck in the public consciousness despite not often being repeated, and was recognised by producers of the show as a plot obstacle for when the show finally had to regenerate the Doctor a thirteenth time.	not [9]	not_entailment	No
7	470	What are two examples of nonself entities in accordance with Frank Burnet's theory?	nonself [5]	On the basis of CST, Burnet developed a theory of how an immune response is triggered according to the self/nonself distinction: "self" constituents (constituents of the body) do not trigger destructive immune responses, while "nonself" entities (pathogens, an allograft) trigger a destructive immune response.	not [36]	entailment	No
8	5090	What does the inability to separate Islam from Islamism lead many in the West to support?	inability [3]	Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error.	not [5]	not_entailment	No
9	5459	One of FIS' agenda items was to force women to start doing what?		Taking advantage of economic failure and unpopular social liberalization and secularization by the ruling leftist-nationalist FLN government, it used its preaching to advocate the establishment of a legal system following Sharia law, economic liberalization and development program, education in Arabic rather than French, and gender segregation, with women staying home to alleviate the high rate of unemployment among young Algerian men.	unpopular [6] | rather than [45, 46] | unemployment [63]	entailment	No
10	2558	The sieve of Eratosthenes would not be valid if what were true?	not [5]	A large body of mathematical work would still be valid when calling 1 a prime, but Euclid's fundamental theorem of arithmetic (mentioned above) would not hold as stated.	not [28]	not_entailment	No
11	477	Which actor was a replacement for Doctor Who due to the illness of the main actor?		Other original plays have been staged as amateur productions, with other actors playing the Doctor, while Terry Nation wrote The Curse of the Daleks, a stage play mounted in the late 1960s, but without the Doctor.	without [37]	not_entailment	No
12	1816	What was the result of the 2007 election?		Later in the summer, Kenyatta visited China at the invitation of President Xi Jinping after a stop in Russia and not having visited the United States as president.	not [21]	not_entailment	No
13	4126	What was the name of the play performed in the 1970's?		Other original plays have been staged as amateur productions, with other actors playing the Doctor, while Terry Nation wrote The Curse of the Daleks, a stage play mounted in the late 1960s, but without the Doctor.	without [37]	not_entailment	No
14	596	What index is an indicator of the effects of taxes applied to social spending?		In a progressive tax system, the level of the top tax rate will often have a direct impact on the level of inequality within a society, either increasing it or decreasing it, provided that income does not change as a result of the change in tax regime.	not [39]	not_entailment	No
15	2727	Where was the ball recovered?		There would be no more scoring in the third quarter, but early in the fourth, the Broncos drove to the Panthers 41-yard line.	no [3]	not_entailment	No
16	3798	Who was the Jin dynasty defector who betrayed the location of the Jin army?		The commander of the Jin dynasty army made a tactical mistake in not attacking the Mongols at the first opportunity.	not [12]	not_entailment	No
17	4367	Why must one be excluded in order to preserve the uniqueness of the fundamental theorem?	uniqueness [10]	The uniqueness in this theorem requires excluding 1 as a prime because one can include arbitrarily many instances of 1 in any factorization, e.g., 3, 1 · 3, 1 · 1 · 3, etc.	uniqueness [1]	entailment	No
18	5080	What organization is John Schmitt and Ben Zipperer members of?		In an analysis of the effects of intensive Anglo-American liberal policies in comparison to continental European liberalism, where unions have remained strong, they concluded "The U.S. economic and social model is associated with substantial levels of social exclusion, including high levels of income inequality, high relative and absolute poverty rates, poor and unequal educational outcomes, poor health outcomes, and high rates of crime and incarceration.	unequal [60]	not_entailment	No
19	2419	What did Newton's mechanics affect?		For situations where lattice holding together the atoms in an object is able to flow, contract, expand, or otherwise change shape, the theories of continuum mechanics describe the way forces affect the material.	object [10] | able [12]	not_entailment	No
20	5438	$500 Million was supplied for the Capital City - ABC merger by what investor?		To finance the purchase, Capital Cities borrowed $2.1 billion from a consortium of banks, which sold certain assets that Capital Cites could not acquire or retain due to FCC ownership rules for a combined $900 million and sold off several cable television systems, which were sold to The Washington Post Company (forming the present-day Cable One).	not [25]	not_entailment	No
21	4615	When will Ford's manufacturing plants close?		Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017.	no [39]	not_entailment	No
22	447	Where was Melanchthon at the time?		The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.	not [18]	entailment	No
23	5337	How many membranes do apicoplasts have?		They are bounded by four membranes, but the membranes are not connected to the endoplasmic reticulum.	not [11]	entailment	No
24	1506	What does refusing to preach the Ten Commandments not do?	not [8]	Simply refusing to preach the Ten Commandments among Christians – thereby, as it were, removing the three letters l-a-w from the church – does not eliminate the accusing law.	not [30]	entailment	No
25	1325	When a commission reached no decision, what happened?	no [4]	The issues of conflicting territorial claims between British and French colonies in North America were turned over to a commission to resolve, but it reached no decision.	no [26]	not_entailment	No
26	514	How long would Tesla spend gambling sometimes?		On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	without [15]	not_entailment	No
27	3382	What was the name of the 50th Anniversary show?		Notably, in 2013, John Hurt guest-starred as a hitherto unknown incarnation of the Doctor known as the War Doctor in the run-up to the show's 50th anniversary special "The Day of the Doctor".	unknown [13]	entailment	No
28	819	What does matter actually have that Newtonian mechanics doesn't address?	n't [9]	Newton's laws and Newtonian mechanics in general were first developed to describe how forces affect idealized point particles rather than three-dimensional objects.	rather than [19, 20]	not_entailment	 No
29	4482	Who lived in a tree to prevent it from being cut down as a form of civil disobedience?	prevent [6]	Julia Butterfly Hill lived in Luna, a 180-foot (55 m)-tall, 600-year-old California Redwood tree for 738 days, successfully preventing it from being cut down.		entailment	Yes
30	908	In what year did BankAmericard change its name?		After a troubled gestation during which its creator resigned, BankAmericard went on to become the first successful credit card; that is, a financial instrument that was usable across a large number of merchants and also allowed cardholders to revolve a balance (earlier financial products could do one or the other but not both).	not [55]	not_entailment	No
31	4901	In autoimmune disorders, the immune system doesn't distinguish between what types of cells?	n't [8]	One of the functions of specialized cells (located in the thymus and bone marrow) is to present young lymphocytes with self antigens produced throughout the body and to eliminate those cells that recognize self-antigens, preventing autoimmunity.		not_entailment	No
32	4394	Who was the Broncos' leading rusher for the 2015 season?		Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.	not [13]	not_entailment	No
33	4384	What does the Riemann hypothesis state the source of irregularity in the distribution of points comes from?	irregularity [9]	In particular, the simplest assumption is that primes should have no significant irregularities without good reason.	no [11] | without [14]	not_entailment	No
34	32	When was amnesty granted to those responsible for the massacre?		The exact number of fatalities throughout the country is not known.	not [9]	not_entailment	No
35	1358	What country has low income inequality and high presence of unions?		Sociologist Jake Rosenfield of the University of Washington asserts that the decline of organized labor in the United States has played a more significant role in expanding the income gap than technological changes and globalization, which were also experienced by other industrialized nations that didn't experience steep surges in inequality.	n't [46]	not_entailment	No
36	2304	What British mathematician took pride in doing work that he felt had no military benefit?	no [12]	However, this vision was shattered in the 1970s, when it was publicly announced that prime numbers could be used as the basis for the creation of public key cryptography algorithms.		not_entailment	No
37	4781	Where was Tesla studying when he started playing cards and billiards?		On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	without [15]	not_entailment	No
38	5069	What do scholars sometimes assert that Luther believed about what faith and reason were to each other?		Some scholars have asserted that Luther taught that faith and reason were antithetical in the sense that questions of faith could not be illuminated by reason.	not [21]	entailment	No
39	4862	What is one condition that an element p of R must satisfy in order to be considered a prime element?		In the ring Z of integers, the set of prime elements equals the set of irreducible elements, which is	irreducible [16]	not_entailment	No
40	1509	In what year did Lavoisier publish his work on combustion?		In one experiment, Lavoisier observed that there was no overall increase in weight when tin and air were heated in a closed container.	no [9]	not_entailment	No
41	760	What philosophies underlay Chinese medicine?		No Chinese translation of Western medical works is known, but it is possible that the Chinese had access to Avicenna's The Canon of Medicine.	No [0]	not_entailment	No
42	3255	What was Tampa's primary ABC affiliate prior to 1994?		KQTV is licensed to St. Joseph, Missouri, which is designated by Nielsen as a separate market from Kansas City despite being located within 55 miles (89 km) of one another, while WWSB and WOTV serve areas that do not receive an adequate signal from their market's primary ABC affiliate (in the case of WWSB, this dates back to when WTSP was Tampa's primary ABC affiliate prior to 1994, with the former being necessitated to serve the southern part of the Tampa market including the station's city of license, Sarasota, due to WTSP's transmitter being short-spaced to avoid interfering with the analog signal of Miami affiliate WPLG – which like WTSP, broadcast on VHF channel 10).	not [43]	entailment	No
43	2243	Which cathedral is located in Fenham?		Another prominent church in the city centre is the Church of St Thomas the Martyr which is the only parish church in the Church of England without a parish and which is not a peculiar.	without [26] | not [32]	not_entailment	No
44	2641	When did the term imperialism first come to be used by its current definition?		Such writers have expanded the time period associated with the term so that it now designates neither a policy, nor a short space of decades in the late 19th century, but a world system extending over a period of centuries, often going back to Christopher Columbus and, in some accounts, to the Crusades.	neither nor [16, 20]	not_entailment	No
45	4379	What percentage of British children are educated at GSCE level in fee-paying schools?		The name "public school" is based on the fact that the schools were open to pupils from anywhere, and not merely to those from a certain locality, and of any religion or occupation.	not [22]	not_entailment	No
46	4603	What party had a victory in the 2015 UK election?		A procedural consequence of the establishment of the Scottish Parliament is that Scottish MPs sitting in the UK House of Commons are able to vote on domestic legislation that applies only to England, Wales and Northern Ireland – whilst English, Scottish, Welsh and Northern Irish Westminster MPs are unable to vote on the domestic legislation of the Scottish Parliament.	unable [51]	not_entailment	No
47	1776	What were the Saxon Palace and Brühl Palace in prewar Warsaw?		Exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities after the war (like mentioned Kronenberg Palace and Insurance Company Rosja building) or they were rebuilt in socialist realism style (like Warsaw Philharmony edifice originally inspired by Palais Garnier in Paris).	not [11]	not_entailment	No
48	259	What position does Demaryius Thomas play?		Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.	not [13]	not_entailment	No
49	3355	What can be achieved without building high or getting rid of common areas?	without [4]	A new development in the Ouseburn valley has recreated them; Architects Cany Ash and Robert Sakula were attracted by the possibilities of high density without building high and getting rid of common areas.	without [25]	entailment	No
50	258	What are two factors that directly effect how powerful a Turing machine may or may not be?	not [15]	They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.		entailment	No
51	3375	Who had the most receptions out of all players for the year?		Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.	not [13]	not_entailment	No
52	2904	What was the percentage of a female householder with no husband present?	no [9]	There were 158,349 households, of which 68,511 (43.3%) had children under the age of 18 living in them, 69,284 (43.8%) were opposite-sex married couples living together, 30,547 (19.3%) had a female householder with no husband present, 11,698 (7.4%) had a male householder with no wife present.	no [47] | no [61]	entailment	No
53	2725	Who did Tesla call in the middle of the night?		On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	without [15]	entailment	No
54	3036	What Apollo mission was this LOR method used and needed?		Ironically, just such a failure happened on Apollo 13 when an oxygen tank explosion left the command ship without electrical power.	without [19]	entailment	No
55	3783	What types of responsibilities might a pharmacy technician have?		A Pharmacy Technician in the UK is considered a health care professional and often does not work under the direct supervision of a pharmacist (if employed in a hospital pharmacy) but instead is supervised and managed by other senior pharmacy technicians.	not [15]	not_entailment	No
56	2864	What is reduced by using plastid transformation for gene modification?		While the reliability of this mechanism has not yet been studied for all relevant crop species, recent results in tobacco plants are promising, showing a failed containment rate of transplastomic plants at 3 in 1,000,000.	not [7]	not_entailment	No
57	1185	The UMC believes that Jesus repudiated the les talionis in what BIble verses?		The United Methodist Church, along with other Methodist churches, condemns capital punishment, saying that it cannot accept retribution or social vengeance as a reason for taking human life.	not [19]	not_entailment	No
