index	dev_index	sentence1	cues	sentence2	cues	target_word	judgment	is_important
1	296	For an ellipse, the eccentricity is the ratio of the distance from the center to a focus divided by the length of the semi-major axis.		A circle is an ellipse with zero eccentricity.	zero [6]	eccentricity	TRUE	No
2	365	Those who criticize others often are not perfect, either.	not [6]	The paper criticized the new movie.		criticize	FALSE	No
3	197	I seem to be misunderstood by everyone.		There seems no reason to go ahead with the project now.	no [2]	seem	FALSE	No
4	561	Don't fuss too much over the grandchildren -- they are quite big now.	n't [1]	She fusses over her husband.		fuss	FALSE	No
5	272	He hadn't seen his dad in years.	n't [2]	Dad, happy Father's Day!		dad	TRUE	No
6	432	There was no meeting of minds.	no [2]	The meeting elected a chairperson.		meeting	FALSE	No
7	41	The operator couldn't get Kobe because of the earthquake.	n't [3]	I'll get this finished by lunchtime.		get	FALSE	No
8	188	Printing at higher resolution will cause a reduction in performance.		They never did achieve a final resolution of their differences.	never [1]	resolution	FALSE	No
9	181	Utter counterfeit currency.		He uttered strange sounds that nobody could understand.	nobody [5]	utter	FALSE	No
10	416	Today is a Wiccan holiday!		No mail is delivered on federal holidays.	No [0]	holiday	TRUE	No
11	518	I am reading a good book on economics.		He was frustrated because he couldn't find anything about dinosaurs in the book.	n't [6]	book	TRUE	No
12	227	I know of the man; but have no acquaintance with him.	no [8]	I have trouble remembering the names of all my acquaintances.		acquaintance	FALSE	No
13	263	Making a hobby of domesticity.		A royal family living in unpretentious domesticity.	unpretentious [5]	domesticity	FALSE	No
14	458	Had unusual longevity in the company.	unusual [1]	Her longevity as a star.		longevity	TRUE	No
15	130	I am trying to contact my sister.		He never contacted his children after he emigrated to Australia.	never [1]	contact	TRUE	No
16	624	It's a pity he couldn't do it.	n't [6]	The blind are too often objects of pity.		pity	FALSE	No
17	601	I applaud your efforts.		Although we don't like your methods, we applaud your motives.	n't [3]	applaud	TRUE	No
18	248	His date never stopped talking.	never [2]	The date for pleading.		date	FALSE	No
19	434	People do that sort of thing every day, without ever stopping to reflect on the consequences.	without [9]	The teacher's ability reflects well on the school.		reflect	FALSE	No
20	452	It was not what it appeared to be on the surface.	not [2]	The cloth had a pattern of red dots on a white surface.		surface	FALSE	No
21	496	The nurse gave him a flu shot.		He tried to get unposed shots of his friends.	unposed [4]	shot	FALSE	No
22	269	One can never fully repair the suffering and losses of the Jews in the Third Reich.	never [2]	She repaired her TV set.		repair	FALSE	No
23	31	Answer the question.		She didn't want to answer.	n't [2]	answer	TRUE	No
24	455	There's no help for it.	no [2]	I need some help with my homework.		help	FALSE	No
25	322	This silly excuse won't wash in traffic court.	n't [4]	The cat washes several times a day.		wash	FALSE	No
26	541	The reality of his situation slowly dawned on him.		The reality of the crash scene on TV dawned upon him only when he saw the victim was no actor but his friend.	no [18]	reality	TRUE	No
27	529	We must not proliferate nuclear arms.	not [2]	The flowers proliferated rapidly all spring.		proliferate	TRUE	No
28	557	His claim to the property has come under question.		He obeyed without question.	without [2]	question	TRUE	No
29	551	The room was simply decorated with great restraint.		The car did not have proper restraints fitted.	not [3]	restraint	FALSE	No
30	488	I would like to thank the brother who just spoke.		None of his brothers would betray him.	None [0]	brother	TRUE	No
31	512	Hooligans destroy unprovoked.	unprovoked [2]	The fire destroyed the house.		destroy	TRUE	No
32	26	Leave lots of time for the trip.		This leaves no room for improvement.	no [2]	leave	TRUE	No
33	480	He worships the almighty dollar.		The dollar coin has never been popular in the United States.	never [4]	dollar	FALSE	No
34	517	Even the pitcher doesn't know where his knuckleball is going.	n't [4]	Boston Red Sox pitcher Tim Wakefield is best known for his use of the knuckleball.		knuckleball	TRUE	No
35	11	An assurance of help when needed.		His assurance in his superiority did not make him popular.	not [6]	assurance	FALSE	No
36	331	The sultriness of her look was unmistakable.	unmistakable [6]	The sultriness of lust was in the air.		sultriness	TRUE	No
37	183	Guests should never be late to a dinner party.	never [2]	On Sundays they had a large dinner when they returned from church.		dinner	FALSE	No
38	620	Juvenile offenses often reflect an inadequacy in the parents.		The inadequacy of unemployment benefits.	inadequacy [1] | unemployment [3]	inadequacy	FALSE	No
39	242	We didn't believe his stories from the War.	n't [2]	I believed his report.		believe	TRUE	No
