index	dev_index	question1	cues	question2	cues	judgment	is_important	
1	29719	Why can't I bear an "" intellectual"" job that I hate but can a physical job?	n't [3]	Why do we feel better and more confident when we wear shoes?		0	No	
2	5233	“The United Nations Organization has made the world a better place.” Critically evaluate this statement?		How do I not fall asleep and distracted after waking up early in the morning?	not [3]	0	No	
3	29327	In India, is it illegal to park a vehicle in front of a gate which has a message board that reads 'Do not park in front of the gate'?	not [24]	What can I do if someone parks their car in front of my gate?		0	No	
4	19081	Is my breasts are sore means I'm pregnant?		What does it mean if my breasts are sore but I am not pregnant?	not [12]	0	No	
5	29639	Does recreational gymnastics stunt growth?		How do male or female feel after having sex? I am 24 and I never had sex	never [15]	0	No	
6	16769	What is the climate of California's coastal regions, and how does it compare to the climate in Wisconsin?		Why didn't the democrats run Bernie Sanders who would have clearly beaten Trump rather than Hillary Clinton who was poised to do worse than Sanders?	n't [2] | rather [14]	0	No	
7	31109	What is the meaning of ""don't go chasing waterfalls""?	n't [9]	What is the meaning of ""Waterfalls"" by TLC?		0	No	
8	25709	What is the penalty for driving without a license in Alabama, how do they compare to the penalties in Texas?	without [6]	What is the penalty for driving without a license in Alabama, how do they compare to the penalties in California?	without [6]	0	No	
9	5101	Are human beings made of cells or atoms?		Are there any parts of the human body not made of cells?	not [8]	0	No	
10	7464	Find the odd one out: Which of these is not a Marathi movie: Natsamrat, Sairat or Udta Punjab?	not [10]	What are some good ways to get someone to message you?		0	No	
11	27311	How do I keep myself from getting distracted?		How do I concentrate on my studies without getting distracted?	without [7]	1	-1	
12	4867	Why doesn't Apple invest in making the native MacOS Numbers app support more advanced spreadsheet/analysis functionality?	n't [2]	iMessage: Why aren't I notified of incoming messages in MacOS when the Message app is not running?	n't [4] | not [17]	0	No	
13	11766	Why were Native Americans never or not widely enslaved in America despite being coloured?	never [4] | not [6]	Were there Native American soldiers who were killed while serving America at war but whose bodies were turned over to museums instead of being returned to their families for burial?		0	No	
14	18867	How can light be reflected if it is made up of photons that are mass less?	less [15]	If photons have no mass then how are they reflected?	no [3]	1	No	
15	30528	Will superman come back to life in next movie after Batman v Superman?		Why didn’t anyone see Batman v Superman's failure coming?	n’t [2]	0	No	
16	25481	Is NDTV planning Ravish ki Report Season 2?		Where is Ravish Kumar? Why is he not anchoring Prime Time on NDTV?	not [8]	0	No	
17	10912	How sane it is to marry inter religion without the knowledge of parents?	without [8]	Who is the smaller people in the world?		0	No	
18	16881	What's the best place to get movie reviews now that Roger Ebert is no longer with us?	no [14]	What review by Roger Ebert have you disagreed with the most?		0	No	
19	24531	Why Israel is anti-communist when the USSR supported the creation of Israel?		Why did communism last in China but not in the USSR?	not [7]	0	No	
20	5237	Why do people ask questions on Quora that are just as, if not more than easier to, look up with a search engine?	not [13]	Why do some people on QUORA ask questions that they can easily findout on Google?		1	No	
21	29881	Couldn't we get rid of ISIS by nuking them?	n't [1]	I have planned a vacation to Bali. Given the fact that Indonesia is a Muslim country, should I be worried about being captured by the ISIS in any way?		0	No	
22	28539	Why there is no alternative to Robin Hood app in Europe?	no [3]	How do I justify excise duty as a Robin Hood tax?		0	No	
23	40204	Why has the CBC online Olympic coverage become so low quality and unreliable?	unreliable [12]	Can i apply for student loan for university of western Scotland I have no parents or siblings?	no [13]	0	No	
24	22832	Is it good to sleep with a bra?		Why should I sleep without a bra?	without [4]	0	No	
25	31059	Will Jio 4G work on an imported, unlocked Samsung S7 Edge?	unlocked [9]	In C programming, how y= ++x +x + x++; or y=++x + x++ + x++; works?		0	No	
26	7142	What’s life like working on a US Navy submarine boomer? I've heard the chow’s at least not bad! What's day to day life like?	not [20]	What is life like on a US Navy LPD?		0	No	
27	3917	How people accept homoeopathy?		Why not people accept homeopathy?	not [1]	0	Yes	
