index	dev_index	text	cues	judgment	is_important
1	34	it does n't believe in itself , it has no sense of humor ... it 's just plain bored .	n't [2] | no [9]	0	Yes
2	833	ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .	unsatisfying [4] | without [11]	0	Yes
3	786	the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .	not [24] | unpleasant [27]	0	No
4	235	whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .	n't [11]	1	No
5	165	may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .	rather than [15, 16]	0	No
6	151	a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .	uncomplicated [14]	1	No
7	301	the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .	unfortunately [25] | n't [27]	0	Yes
8	172	it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel .	n't [17]	1	No
9	372	the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system .	weightlessness [7]	1	No
10	128	montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .	not [22]	1	Yes
11	452	it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .	n't [6] | undetermined [30]	0	Yes
12	319	too much of it feels unfocused and underdeveloped .	unfocused [5]	0	Yes
13	745	made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .	no [2]	0	No
14	697	not since tom cruise in risky business has an actor made such a strong impression in his underwear .	not [0]	1	No
15	571	passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .	n't [13] | not [26]	0	Yes
16	114	it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	n't [6]	1	No
17	274	it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .	unlikeable [13]	0	Yes
18	692	sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos .	not [15]	0	No
19	60	this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .	n't [9]	1	No
20	173	determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .	n't [15]	0	Yes
21	358	( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .	n't [4]	1	No
22	551	nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .	nothing [0]	0	No
23	845	despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine .	never [15]	0	Yes
24	858	the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .	unbelievably [7]	1	No
25	589	if your taste runs to ` difficult ' films you absolutely ca n't miss it .	n't [12]	1	No
26	469	so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .	unremittingly [1]	0	No
27	539	do not see this film .	not [1]	0	Yes
28	398	despite its title , punch-drunk love is never heavy-handed .	never [9]	1	Yes
29	139	it 's not the ultimate depression-era gangster movie .	not [2]	0	Yes
30	871	looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . '	not [19]	1	Yes
31	382	a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .	n't [5]	0	Yes
32	162	there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .	no [4]	0	Yes
33	161	not exactly the bees knees	not [0]	0	Yes
34	719	whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .	unrelenting [9]	0	No
