index	dev_index	question	cues	choices	judgment	is_important	
1	NA	John was a bit think in the head, but he knew that he never saw the lady before.  They were what?	never [14]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pay debts', 'slender', 'unacquainted', 'free flowing', 'sparse']}	C	Yes	
2	NA	How can you let someone know about your anger without hurting him or her?	without [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['release energy', 'destroy enemy', 'punch', 'write letter', 'lose your temper']}	D	Yes	
3	NA	What is a place that usually does not have an elevator and that sometimes has a telephone book?	not [7]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['at hotel', 'kitchen', 'library', 'telephone booth', 'house']}	E	Yes	
4	NA	More people should lower the guard and just have fun, we don't got long just what?	n't [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['enjoy living', 'happy', 'enjoyable', 'get laid', 'do enjoy']}	A	No	
5	NA	She feared that she had cancer, but upon discovering truth that she hadn't, what was her attitude toward life?	n't [14]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['conclusion', 'pain', 'happiness', 'relief', 'boring']}	C	Yes	
6	NA	If not in a stream but in a market where will you find fish?	not [1]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['stream', 'aquarium', 'refrigerator', 'boat ride', 'market']}	C	Yes	
7	NA	The kids didn't clean up after they had done what?	n't [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['learn things', 'play games', 'disneyland', 'play with toys', 'talking']}	D	No	
8	NA	What would you do if your date does not show up?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['wait for', 'bathe', 'go for haircut', 'plan revenge', 'dress nice']}	A	Yes	
9	NA	Where would you get some wood if you do not have any?	not [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['carpet', 'boat', 'river', 'lumberyard', 'synagogue']}	D	No	
10	NA	The planet Mercury is unsuitable for human life or what?	unsuitable [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['toxic', 'uninhabitable', 'mercury sulphide', 'poisonous', 'jupiter']}	B	No	
11	NA	What should everyone do who doesn't want to fight anymore?	n't [6]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['explicate', 'pay tribute to king', 'hope for peace', 'wear shoes', 'do well']}	C	Yes	
12	NA	During a shark filled tornado where should you not be?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['marine museum', 'pool hall', 'noodle house', 'bad movie', 'outside']}	E	Yes	
13	NA	If you spend all your time buying and not saving what is is likely to happen?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['using money', 'feel better', 'ocean', 'losing money', 'go broke']}	E	Yes	
14	NA	When you travel you should what in case of unexpected costs?	unexpected [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['go somewhere', 'energy', 'spend frivilously', 'fly in airplane', 'have money']}	E	No	
15	NA	John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?	were [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['control children', 'guide children', 'speak freely', 'cry', 'understand children']}	B	No	
16	NA	The buildings were intended to not have residential kitchens in them, what were they designed for?	not [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['large city', 'small', 'eat cake', 'university', 'town']}	D	No	
17	NA	What type of non-vegetarian soup is one likely to find a potato?	non [3] | - [4]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['beef stew', 'own kitchen', 'clam chowder', 'kitchen cabinet', 'pantry']}	C	Yes	
18	NA	What kind of service is my body a part of when I'm no longer here?	no [13]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['bodycam', 'home', 'coffin', 'funeral', 'graveyard']}	D	Yes	
19	NA	Where would I not want a fox?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['hen house', 'english hunt', 'mountains', 'outside bedroom window', 'england']}	A	Yes	
20	NA	Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?	They [33]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['surface of earth', 'teardrops', 'snowflake', 'typhoon', 'motor']}	D	No	
21	NA	A supermarket is uncommon in what type of collection of shops?	uncommon [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['strip mall', 'city or town', 'shoppingcentre', 'boutique', 'vermont']}	A	Yes	
22	NA	The guys had a regular poker game, rather than going to the movies this what their what?	rather [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['competition', 'fun game', 'losing money', 'fun', 'social event']}	E	No	
23	NA	They were kissing each other good bye, they had no worries because their relationship had a strong foundation of what?	no [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['partner', 'trust', 'cooperation', 'bricks', 'herpes']}	B	Yes	
24	NA	If I did not have a rosebush, where would I get one?	not [3]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pot', 'museum', 'garden center', 'formal garden', 'backyard']}	C	No	
25	NA	Where would a person live if they wanted no neighbors?	no [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['housing estate', 'neighborhood', 'mars', 'woods', 'suburbs']}	D	Yes	
26	NA	James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?	n't [5] | did [15]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['lose money', 'fun', 'have no money', 'broken law', 'relaxation']}	D	No	
27	NA	The man had a fear of illness, so he never visited friends who were a what?	never [10]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sick person', 'hospital', 'elderly person', 'graveyard', "doctor's office"]}	A	Yes	
28	NA	james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?	did [23]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['wander', 'migrate', 'scare', 'disturb', 'agitate']}	D	Yes	
29	NA	What might result in an unsuccessful suicide attempt?	unsuccessful [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['die', 'interruption', 'bleed', 'hatred', 'dying']}	B	Yes	
30	NA	There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?	nothing [19]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['mountains', 'countryside', 'train', 'painting', 'village']}	B	No	
31	NA	If a fried egg was runny and there was no toast to sop it up, after the meal there'd be a messy what?	no [9]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['henhouse', 'garden', 'plate', 'supermarket', "bird's nest"]}	C	No	
32	NA	How would you express information if you do not have a pen or pencil?	not [8]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['may disagree', 'close mouth', 'write down', 'talk', 'eyes']}	D	Yes	
33	NA	What does a gambler do that causes him or her to be unhappy?	unhappy [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['play cards', 'double winnings', 'lose money', 'play poker', 'to win the prize']}	C	Yes	
34	NA	There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?	no [23]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['train station', 'beach', 'bus depot', 'bridge', 'stumblebum']}	C	No	
35	NA	Sally thought that competing wasn't worth the risk. If she pushed more what might happen?	n't [5]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pressure', 'trying harder', 'put harder', 'enemies', 'death']}	E	No	
36	NA	She asked her little boy why, he replied that he didn't know and it was just what?	n't [12]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['case', 'reason', 'how', 'because', 'answer']}	D	No	
37	NA	How are the conditions for someone who is living in a homeless shelter?	homeless [11]	{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['sometimes bad', 'happy', 'respiration', 'growing older', 'death']}	A	Yes	
